addr_pct_cd,petit_larceny,harrassment_2,assault_3,criminal_mischief,grand_larceny,public_order,felony_assault,dangerous_drugs,penal_law,robbery,burglary,misdemenor,felony,violation
1,2537.0,806.0,470.0,400.0,1086.0,413.0,61.0,49.0,73.0,80.0,85.0,3779.0,1462.0,819.0
5,925.0,482.0,482.0,315.0,531.0,135.0,169.0,78.0,63.0,85.0,130.0,1841.0,1072.0,482.0
6,1234.0,421.0,427.0,281.0,1031.0,183.0,121.0,273.0,76.0,153.0,163.0,2262.0,1671.0,430.0
7,700.0,526.0,513.0,464.0,517.0,201.0,153.0,122.0,85.0,119.0,93.0,1884.0,1074.0,535.0
9,1174.0,593.0,501.0,371.0,832.0,206.0,149.0,176.0,68.0,84.0,161.0,2332.0,1387.0,596.0
10,810.0,588.0,390.0,275.0,745.0,201.0,95.0,105.0,42.0,81.0,78.0,1711.0,1107.0,592.0
13,2181.0,719.0,573.0,456.0,1381.0,312.0,176.0,200.0,82.0,152.0,195.0,3619.0,2068.0,740.0
14,3475.0,758.0,875.0,559.0,2008.0,331.0,199.0,401.0,116.0,150.0,210.0,5323.0,2982.0,777.0
17,1067.0,487.0,308.0,247.0,747.0,140.0,91.0,83.0,29.0,63.0,81.0,1768.0,1080.0,495.0
18,2048.0,1184.0,790.0,416.0,1877.0,333.0,190.0,215.0,85.0,130.0,175.0,3670.0,2575.0,1198.0
19,1909.0,738.0,435.0,518.0,1466.0,204.0,146.0,23.0,88.0,138.0,227.0,2970.0,2174.0,748.0
20,1368.0,489.0,265.0,383.0,656.0,101.0,83.0,33.0,50.0,61.0,82.0,2106.0,970.0,495.0
22,60.0,33.0,30.0,24.0,27.0,4.0,6.0,18.0,5.0,15.0,0.0,130.0,59.0,33.0
23,834.0,978.0,757.0,597.0,298.0,345.0,316.0,270.0,156.0,145.0,75.0,2674.0,1117.0,980.0
24,1433.0,799.0,339.0,435.0,596.0,115.0,122.0,64.0,71.0,140.0,141.0,2322.0,1131.0,802.0
25,1073.0,729.0,773.0,630.0,479.0,277.0,357.0,651.0,163.0,191.0,115.0,3145.0,1559.0,734.0
26,618.0,402.0,260.0,346.0,382.0,179.0,100.0,107.0,69.0,108.0,61.0,1451.0,777.0,404.0
28,1298.0,712.0,533.0,601.0,445.0,199.0,204.0,289.0,101.0,156.0,102.0,2679.0,1247.0,714.0
30,747.0,657.0,407.0,390.0,321.0,156.0,194.0,59.0,71.0,159.0,85.0,1692.0,894.0,660.0
32,671.0,934.0,776.0,732.0,330.0,309.0,314.0,202.0,153.0,193.0,124.0,2521.0,1274.0,943.0
33,718.0,566.0,444.0,530.0,270.0,125.0,204.0,297.0,125.0,111.0,67.0,2001.0,888.0,568.0
34,821.0,731.0,611.0,531.0,592.0,282.0,314.0,100.0,124.0,200.0,155.0,2168.0,1558.0,735.0
40,1592.0,1872.0,1621.0,1056.0,772.0,461.0,722.0,1052.0,214.0,462.0,251.0,5426.0,2761.0,1888.0
41,1019.0,827.0,671.0,567.0,344.0,252.0,412.0,261.0,215.0,154.0,114.0,2645.0,1357.0,834.0
42,1167.0,1396.0,1320.0,959.0,356.0,348.0,512.0,322.0,116.0,238.0,224.0,3931.0,1624.0,1403.0
43,1560.0,1775.0,1614.0,1096.0,663.0,567.0,589.0,420.0,192.0,299.0,179.0,4886.0,2281.0,1787.0
44,2037.0,1971.0,1815.0,1378.0,668.0,424.0,614.0,558.0,205.0,382.0,214.0,5882.0,2405.0,1979.0
45,1296.0,1119.0,707.0,672.0,556.0,276.0,239.0,147.0,63.0,127.0,138.0,2924.0,1289.0,1127.0
46,1003.0,1596.0,1593.0,822.0,477.0,391.0,586.0,680.0,208.0,315.0,190.0,4121.0,2137.0,1603.0
47,1073.0,1626.0,1452.0,1082.0,522.0,372.0,725.0,400.0,191.0,338.0,295.0,4233.0,2214.0,1629.0
48,1049.0,1309.0,1189.0,802.0,425.0,420.0,396.0,361.0,166.0,276.0,182.0,3579.0,1683.0,1313.0
49,929.0,1033.0,725.0,725.0,440.0,315.0,308.0,210.0,167.0,176.0,171.0,2767.0,1393.0,1039.0
50,863.0,588.0,403.0,470.0,460.0,263.0,149.0,74.0,37.0,111.0,105.0,1921.0,1012.0,590.0
52,1857.0,1137.0,1264.0,933.0,681.0,428.0,556.0,772.0,176.0,334.0,208.0,4898.0,2309.0,1139.0
60,1001.0,820.0,725.0,683.0,422.0,264.0,235.0,464.0,242.0,140.0,91.0,2865.0,1388.0,834.0
61,1049.0,784.0,560.0,646.0,584.0,251.0,170.0,160.0,185.0,150.0,170.0,2487.0,1432.0,790.0
62,1061.0,865.0,557.0,515.0,485.0,336.0,148.0,87.0,196.0,120.0,180.0,2381.0,1289.0,880.0
63,953.0,619.0,344.0,438.0,494.0,184.0,135.0,106.0,142.0,89.0,97.0,1915.0,1057.0,629.0
66,836.0,588.0,386.0,435.0,447.0,141.0,141.0,89.0,119.0,101.0,186.0,1746.0,1129.0,594.0
67,1187.0,1830.0,1148.0,1039.0,586.0,379.0,602.0,187.0,449.0,246.0,225.0,3585.0,2451.0,1842.0
68,858.0,476.0,329.0,431.0,386.0,187.0,129.0,442.0,154.0,59.0,98.0,1900.0,1160.0,489.0
69,686.0,698.0,427.0,419.0,291.0,205.0,187.0,121.0,188.0,115.0,90.0,1755.0,969.0,703.0
70,1438.0,893.0,808.0,654.0,529.0,367.0,273.0,198.0,279.0,162.0,173.0,3237.0,1633.0,904.0
71,1028.0,1053.0,714.0,577.0,464.0,366.0,349.0,141.0,199.0,166.0,144.0,2693.0,1450.0,1058.0
72,992.0,672.0,631.0,501.0,468.0,247.0,209.0,174.0,214.0,185.0,153.0,2346.0,1423.0,677.0
73,1040.0,1649.0,1363.0,886.0,413.0,535.0,590.0,400.0,562.0,370.0,177.0,3915.0,2404.0,1666.0
75,2452.0,2221.0,1736.0,1702.0,1030.0,647.0,940.0,341.0,567.0,603.0,441.0,6306.0,4139.0,2235.0
76,414.0,278.0,248.0,280.0,210.0,117.0,91.0,207.0,147.0,53.0,65.0,1129.0,697.0,284.0
77,913.0,905.0,748.0,675.0,397.0,341.0,297.0,347.0,243.0,180.0,158.0,2733.0,1554.0,917.0
78,1192.0,559.0,365.0,313.0,503.0,164.0,81.0,58.0,78.0,93.0,107.0,2020.0,922.0,571.0
79,1114.0,1196.0,826.0,798.0,481.0,320.0,343.0,384.0,299.0,309.0,301.0,3093.0,2072.0,1206.0
81,707.0,881.0,552.0,599.0,399.0,229.0,274.0,123.0,207.0,234.0,218.0,2081.0,1447.0,895.0
83,1124.0,1022.0,817.0,882.0,471.0,205.0,298.0,112.0,172.0,265.0,303.0,2934.0,1711.0,1026.0
84,1469.0,747.0,482.0,392.0,650.0,163.0,184.0,90.0,137.0,147.0,126.0,2457.0,1375.0,755.0
88,649.0,605.0,342.0,466.0,402.0,201.0,182.0,94.0,122.0,100.0,101.0,1680.0,972.0,612.0
90,1182.0,980.0,593.0,766.0,718.0,275.0,237.0,177.0,205.0,198.0,228.0,2768.0,1805.0,986.0
94,789.0,493.0,335.0,448.0,535.0,219.0,115.0,85.0,108.0,63.0,141.0,1717.0,1113.0,501.0
100,416.0,345.0,311.0,264.0,161.0,77.0,121.0,73.0,172.0,38.0,59.0,999.0,690.0,348.0
101,584.0,776.0,563.0,450.0,250.0,226.0,301.0,84.0,307.0,151.0,98.0,1732.0,1278.0,780.0
102,948.0,972.0,696.0,704.0,284.0,188.0,184.0,18.0,266.0,101.0,104.0,2389.0,1097.0,979.0
103,924.0,980.0,855.0,775.0,467.0,377.0,407.0,101.0,213.0,347.0,152.0,2776.0,1836.0,986.0
104,1143.0,1008.0,570.0,731.0,531.0,273.0,169.0,27.0,191.0,140.0,214.0,2597.0,1387.0,1013.0
105,921.0,1411.0,830.0,808.0,589.0,342.0,405.0,38.0,326.0,197.0,266.0,2609.0,2100.0,1424.0
106,826.0,998.0,693.0,783.0,502.0,282.0,246.0,68.0,212.0,183.0,133.0,2280.0,1647.0,999.0
107,625.0,669.0,409.0,587.0,539.0,208.0,131.0,29.0,139.0,138.0,149.0,1705.0,1247.0,671.0
108,853.0,897.0,505.0,547.0,490.0,130.0,109.0,70.0,126.0,90.0,109.0,1970.0,1049.0,907.0
109,2115.0,1329.0,839.0,741.0,970.0,442.0,219.0,78.0,251.0,202.0,324.0,3951.0,2208.0,1351.0
110,1677.0,830.0,950.0,631.0,665.0,154.0,329.0,87.0,158.0,263.0,138.0,3298.0,1747.0,837.0
111,310.0,479.0,197.0,292.0,360.0,41.0,74.0,31.0,41.0,35.0,163.0,735.0,802.0,486.0
112,982.0,410.0,203.0,379.0,402.0,82.0,53.0,12.0,52.0,41.0,69.0,1599.0,674.0,412.0
113,1012.0,914.0,888.0,712.0,414.0,400.0,383.0,74.0,401.0,156.0,153.0,2822.0,1762.0,923.0
114,1484.0,1280.0,951.0,869.0,787.0,496.0,357.0,145.0,323.0,193.0,171.0,3658.0,2108.0,1290.0
115,1059.0,1170.0,1185.0,753.0,653.0,223.0,368.0,132.0,252.0,248.0,195.0,3083.0,1977.0,1178.0
120,921.0,1634.0,1057.0,945.0,305.0,417.0,275.0,223.0,291.0,147.0,152.0,3351.0,1374.0,1642.0
121,1273.0,1219.0,567.0,561.0,339.0,419.0,165.0,60.0,188.0,123.0,95.0,2728.0,1057.0,1224.0
122,683.0,1205.0,420.0,686.0,314.0,188.0,109.0,87.0,211.0,43.0,89.0,1922.0,904.0,1209.0
123,419.0,459.0,182.0,420.0,198.0,129.0,45.0,102.0,55.0,11.0,24.0,1143.0,438.0,463.0
