,addr_zip,Number of Incidents
0,11226,28126
1,10467,26161
2,10458,22856
3,10468,21537
4,10453,20407
5,10452,20170
6,10457,18906
7,10463,18075
8,10456,17819
9,11213,17723
10,11225,17283
11,11221,17196
12,11207,16876
13,10031,16763
14,11233,16724
15,11212,16438
16,10032,15372
17,10040,15370
18,11203,15065
19,11216,15037
20,11208,14138
21,10462,13109
22,10472,12829
23,10460,12578
24,11230,11942
25,11238,11845
26,10466,11713
27,10033,11601
28,11235,11584
29,10025,11574
30,10027,11542
31,10034,11307
32,11385,10550
33,10459,9929
34,11220,9527
35,10029,9167
36,11236,9068
37,11210,9057
38,11237,9028
39,11218,8977
40,10451,8931
41,10002,8886
42,10009,8850
43,11206,8579
44,10461,8485
45,11211,8456
46,11214,8438
47,11229,8390
48,10003,8105
49,10455,7929
50,10030,7835
51,11373,7741
52,11209,7620
53,10469,7571
54,11691,7401
55,11234,7343
56,11377,7341
57,11215,7285
58,11223,7238
59,10011,7204
60,11368,7166
61,10016,6991
62,11204,6952
63,10314,6852
64,11219,6790
65,10019,6643
66,11432,6594
67,10026,6577
68,11372,6111
69,10024,6107
70,10306,6039
71,10035,5993
72,11222,5942
73,11355,5820
74,11201,5803
75,10454,5641
76,10301,5579
77,11434,5490
78,10128,5474
79,10304,5421
80,11435,5415
81,11375,5402
82,10023,5359
83,10013,5283
84,11374,5277
85,11217,5140
86,11101,5115
87,10036,5075
88,10473,5033
89,10012,4932
90,10014,4929
91,11433,4756
92,10312,4746
93,11205,4684
94,11224,4651
95,10039,4595
96,11231,4386
97,11412,4319
98,10001,4277
99,11354,4222
100,10028,4209
101,11367,3994
102,11232,3920
103,10305,3881
104,10465,3868
105,11418,3854
106,10022,3786
107,11420,3764
108,11421,3763
109,11103,3713
110,11419,3712
111,11413,3704
112,10010,3681
113,11105,3648
114,11106,3639
115,11378,3525
116,11423,3502
117,11249,3496
118,11104,3473
119,10303,3342
120,10470,3338
121,10021,3309
122,10474,3270
123,10037,3112
124,11102,3096
125,10309,3087
126,11417,3030
127,11694,2929
128,10065,2927
129,11369,2880
130,10310,2832
131,11357,2657
132,10038,2644
133,11416,2581
134,11228,2554
135,11415,2526
136,11358,2432
137,11422,2416
138,10308,2377
139,10075,2375
140,11356,2368
141,11379,2365
142,10471,2329
143,11414,2279
144,11429,2267
145,11365,2245
146,11692,2227
147,10302,2208
148,11427,2104
149,11364,2074
150,11436,2051
151,10017,1904
152,10464,1812
153,11361,1788
154,11428,1737
155,11370,1736
156,10018,1658
157,11411,1537
158,11693,1517
159,10007,1448
160,10475,1214
161,11366,1152
162,10005,1056
163,10307,960
164,11426,946
165,11362,940
166,10004,843
167,11363,786
168,11360,638
169,10006,614
170,11239,606
171,11004,578
172,10280,236
173,10044,230
174,11001,202
175,10069,140
176,11109,118
177,10282,110
178,11040,110
179,10020,90
180,11697,64
181,11430,61
182,10281,55
183,10162,21
184,11005,16
185,10048,12
186,10129,12
187,10112,11
188,11695,11
189,10000,9
190,10803,9
191,10118,9
192,10041,7
193,10107,5
194,10111,5
195,10119,5
196,10103,4
197,11359,3
198,10153,3
199,11241,3
200,11242,2
